Display name;Email
Microsoft 365 Message Center Notification;o365mc@microsoft.com
Microsoft Azure notification;azure-noreply@microsoft.com
Microsoft Defender Notification;defender-noreply@microsoft.com
Microsoft Exchange Security Alerts;office365alerts@microsoft.com
Microsoft Forms notifications;maccount@microsoft.com
Microsoft Notification;microsoft-noreply@microsoft.com
Microsoft OneDrive notifications;photos@onedrive.com
Microsoft Power Automate;powerautomatenoreply@microsoft.com
Microsoft Security Notifications;securitynotifications@e-mail.microsoft.com
Microsoft Security Response Center Notification;msrc-notifications@microsoft.com
Microsoft Security Update Releases;securitynotifications@e-mail.microsoft.com
Microsoft SharePoint notifications;no-reply@sharepointonline.com
Microsoft Spam Quarantine Notification;quarantine@messaging.microsoft.com
Microsoft Token Verification;token@microsoft.onmicrosoft.com
Microsoft Viva Notification;viva-noreply@microsoft.com
