Display name;Email
Alza.cz;info@news.alza.cz
Alza.cz Sluzebnicek;sluzebnicek@alza.cz
BOZP SYSTEM;info@bozp-system.cz
Ceska sporitelna Notification;ceskasporitelna@csas.cz
Datové schránky Notification;notifikace@mojedatovaschranka.cz
E.ON Novinky;eon@novinky.eon.cz
Fakturoid Notification;mesicni@fakturoid.cz
Fio banka Notification;noreply@fio.cz
Komerční banka Service Notification;informace@kbinfo.cz
Portál občana Notifikace;portalobcana@notifikace.gov.cz
PostSignum Notification;podatelna.postsignum@cpost.cz
Raiffeisenbank Marketing Notification;info@klient.rb.cz
Raiffeisenbank Notification;info@rb.cz
Seznam.cz Marketing Notification;info@firmy.cz
Sodexo Benefity Notification;no-reply@benefity.sodexo.cz
SubReg Notification;info@subreg.cz
T-Mobile Czech Notification;notifikace@t-mobile.cz
